Year,LocationAbbr,LocationDesc,Question,DataValue,Gender
2015,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.1,Female
2015,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.9,Overall
2011,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71,Male
2013,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Male
2015,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.7,Male
2013,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.9,Overall
2011,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Overall
2013,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.9,Female
2013,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.4,Male
2011,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.2,Female
2015,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.8,Male
2013,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.6,Overall
2013,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.8,Female
2011,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.7,Female
2015,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.5,Overall
2011,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.6,Overall
2015,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.2,Female
2011,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.6,Male
2011,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.4,Male
2011,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.2,Overall
2013,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.3,Female
2011,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.1,Female
2013,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72,Overall
2011,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70,Female
2011,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.9,Male
2011,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.9,Overall
2013,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.8,Male
2013,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.1,Male
2015,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.8,Female
2015,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.3,Overall
2013,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.3,Overall
2015,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.9,Male
2015,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Male
2013,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.3,Female
2015,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Overall
2015,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.5,Female
2013,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.1,Male
2013,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.8,Overall
2013,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.5,Female
2011,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.7,Female
2013,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.4,Male
2011,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Male
2015,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.9,Male
2011,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.7,Overall
2015,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.4,Overall
2011,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.9,Male
2013,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Overall
2015,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.8,Female
2011,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.6,Overall
2013,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.1,Female
2011,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64,Female
2015,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62,Male
2015,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.6,Overall
2015,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.1,Female
2015,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.2,Female
2013,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.6,Female
2013,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.1,Overall
2013,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,80.5,Male
2015,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.6,Overall
2011,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78,Female
2011,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.7,Overall
2011,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.4,Male
2015,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.8,Male
2011,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.8,Female
2013,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.7,Male
2011,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70,Overall
2013,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.9,Overall
2013,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.4,Female
2015,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.2,Female
2011,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.9,Male
2015,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66,Overall
2015,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.6,Male
2011,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.8,Male
2011,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.1,Overall
2011,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.6,Female
2013,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.6,Male
2013,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.9,Overall
2013,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.4,Male
2015,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Male
2015,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.2,Overall
2015,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.9,Female
2013,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.8,Female
2013,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69,Overall
2011,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.1,Male
2013,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Female
2011,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.7,Overall
2015,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Female
2011,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.4,Female
2015,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.9,Overall
2015,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.1,Male
2011,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.8,Male
2011,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76,Overall
2011,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.3,Female
2015,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.9,Male
2015,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.2,Overall
2015,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Female
2013,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70,Male
2013,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.9,Overall
2013,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.6,Female
2013,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.4,Female
2011,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.3,Male
2011,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62,Overall
2011,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61.8,Female
2013,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.5,Overall
2015,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.8,Female
2015,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.8,Overall
2015,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Male
2013,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,58,Male
2013,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.7,Male
2011,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.3,Male
2013,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.2,Overall
2015,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Male
2015,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.2,Overall
2015,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.4,Female
2013,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.4,Female
2011,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.1,Overall
2013,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.2,Female
2013,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.7,Overall
2013,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.3,Male
2011,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Male
2011,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64.9,Female
2011,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.6,Overall
2011,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64,Female
2015,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.6,Male
2015,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.5,Overall
2015,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.4,Female
2011,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,77.2,Male
2013,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.4,Female
2011,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,75.7,Overall
2011,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.8,Female
2011,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,73.7,Female
2011,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.5,Overall
2015,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.8,Female
2013,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.8,Overall
2011,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.7,Male
2015,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.2,Overall
2013,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.4,Male
2013,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.3,Female
2013,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.6,Overall
2015,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.2,Male
2015,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.6,Female
2013,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.1,Male
2015,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,60.2,Overall
2015,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,57.3,Male
2011,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.4,Female
2015,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.6,Male
2015,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.6,Overall
2011,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.3,Overall
2013,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72,Male
2015,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.5,Female
2015,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.8,Female
2015,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.1,Overall
2015,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.5,Male
2011,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.1,Female
2011,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69,Male
2013,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.3,Overall
2013,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.1,Male
2011,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.1,Overall
2011,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.6,Male
2013,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.4,Overall
2013,NH,New Hampshire,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.7,Female
2013,NH,New Hampshire,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Female
2013,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.5,Female
2015,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.2,Male
2011,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.8,Female
2013,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.8,Overall
2015,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69,Overall
2013,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.7,Female
2011,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.1,Overall
2015,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.6,Female
2013,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.6,Male
2011,NJ,New Jersey,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.5,Male
2015,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Male
2013,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.4,Overall
2015,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.9,Overall
2015,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.9,Female
2013,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.5,Male
2011,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.4,Female
2011,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61,Overall
2011,NJ,New Jersey,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Male
2011,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.6,Female
2011,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.4,Overall
2011,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.2,Male
2015,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70,Female
2015,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.3,Overall
2015,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.4,Male
2013,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.6,Female
2013,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.1,Overall
2013,NM,New Mexico,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64.5,Male
2011,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60,Male
2013,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60,Male
2013,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Overall
2013,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.5,Female
2011,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.2,Overall
2011,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,58.4,Female
2015,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,55.3,Female
2015,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,54,Overall
2015,NM,New Mexico,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,52.6,Male
2015,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,18.2,Female
2012,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,17.5,Female
2015,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,16.5,Overall
2011,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75,Female
2012,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,16.4,Overall
2013,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72,Female
2011,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.5,Overall
2014,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,16.4,Female
2015,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Female
2013,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.6,Overall
2013,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.1,Male
2011,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69,Female
2015,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.2,Overall
2011,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.8,Male
2011,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.5,Overall
2015,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.4,Male
2013,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.2,Female
2011,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66,Male
2015,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.7,Overall
2015,NY,New York,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.7,Male
2014,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,15.7,Overall
2013,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,15.7,Female
2015,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65,Female
2013,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.9,Overall
2016,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,15.5,Female
2013,NY,New York,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.4,Male
2016,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,15.3,Overall
2016,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,15.2,Male
2016,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,15.1,Male
2016,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,15,Overall
2015,MS,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,15,Male
2012,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,15,Male
2013,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.9,Overall
2016,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.8,Male
2016,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.8,Female
2014,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.8,Male
2015,MS,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.7,Overall
2015,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.7,Male
2016,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.6,Overall
2015,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.5,Male
2015,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.5,Overall
2016,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.4,Female
2015,KY,Kentucky,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.4,Male
2015,MS,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.4,Female
2013,GU,Guam,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.3,Female
2015,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.2,Female
2011,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.1,Female
2014,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.1,Female
2014,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.1,Male
2014,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.1,Overall
2013,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.1,Female
2013,GU,Guam,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.1,Overall
2016,MS,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,14,Female
2015,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,14,Female
2013,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,14,Male
2016,KY,Kentucky,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.9,Male
2015,AR,Arkansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.9,Female
2013,GU,Guam,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.9,Male
2016,AR,Arkansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.8,Female
2013,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.8,Overall
2013,MS,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.7,Female
2016,MS,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.6,Overall
2013,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.6,Male
2016,AR,Arkansas,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.5,Overall
2015,AL,Alabama,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.5,Overall
2011,PR,Puerto Rico,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.5,Overall
2013,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.5,Male
2016,TN,Tennessee,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4,Male
2015,KY,Kentucky,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4,Overall
2014,MS,Mississippi,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4,Female
2013,SC,South Carolina,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.4,Female
2016,VI,Virgin Islands,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.3,Female
2012,WV,West Virginia,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.2,Female
